 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +4.4333333333333336E+00	  +3.6000000000000000E+01	  +1.1320000000000000E+03	  +2.7137131912434672E+01	
  +4.4500000000000002E+00	  +3.6000000000000000E+01	  +1.1280000000000000E+03	  +2.7131562224901465E+01	
  +4.4666666666666668E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7132026359363000E+01	
  +4.4833333333333334E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7130931148614625E+01	
  +4.5000000000000000E+00	  +3.6000000000000000E+01	  +1.1320000000000000E+03	  +2.7131746217337007E+01	
  +4.5166666666666666E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7131099859374107E+01	
  +4.5333333333333332E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7131708226269968E+01	
  +4.5499999999999998E+00	  +3.6000000000000000E+01	  +1.1320000000000000E+03	  +2.7131285279263565E+01	
  +4.5666666666666664E+00	  +3.6000000000000000E+01	  +1.1310000000000000E+03	  +2.7131698347490275E+01	
  +4.5833333333333330E+00	  +3.6000000000000000E+01	  +1.1320000000000000E+03	  +2.7131435667896294E+01	
  +4.5999999999999996E+00	  +3.6000000000000000E+01	  +1.1310000000000000E+03	  +2.7131714796798448E+01	
  +4.6166666666666663E+00	  +3.5000000000000000E+01	  +1.1290000000000000E+03	  +2.6983504339921584E+01	
  +4.6333333333333337E+00	  +3.5000000000000000E+01	  +1.1310000000000000E+03	  +2.6858872180277366E+01	
  +4.6500000000000004E+00	  +3.5000000000000000E+01	  +1.1330000000000000E+03	  +2.6838206377445076E+01	
  +4.6666666666666670E+00	  +3.5000000000000000E+01	  +1.1290000000000000E+03	  +2.6832252904228746E+01	
  +4.6833333333333336E+00	  +3.5000000000000000E+01	  +1.1310000000000000E+03	  +2.6832837109724039E+01	
  +4.7000000000000002E+00	  +3.6000000000000000E+01	  +1.1290000000000000E+03	  +2.6979518414936599E+01	
  +4.7166666666666668E+00	  +3.6000000000000000E+01	  +1.1260000000000000E+03	  +2.7105287644815313E+01	
  +4.7333333333333334E+00	  +3.6000000000000000E+01	  +1.1280000000000000E+03	  +2.7125009510385709E+01	
  +4.7500000000000000E+00	  +3.6000000000000000E+01	  +1.1270000000000000E+03	  +2.7131761342214006E+01	
  +4.7666666666666666E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7130488835230462E+01	
  +4.7833333333333332E+00	  +3.6000000000000000E+01	  +1.1270000000000000E+03	  +2.7132389581113255E+01	
  +4.7999999999999998E+00	  +3.6000000000000000E+01	  +1.1260000000000000E+03	  +2.7130966297029509E+01	
  +4.8166666666666664E+00	  +3.7000000000000000E+01	  +1.1280000000000000E+03	  +2.7280210663262970E+01	
  +4.8333333333333330E+00	  +3.6000000000000000E+01	  +1.1310000000000000E+03	  +2.7256017406806475E+01	
  +4.8499999999999996E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7300567846732584E+01	
  +4.8666666666666663E+00	  +3.7000000000000000E+01	  +1.1260000000000000E+03	  +2.7382920600659759E+01	
  +4.8833333333333337E+00	  +3.7000000000000000E+01	  +1.1280000000000000E+03	  +2.7396515599274451E+01	
  +4.9000000000000004E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7405492351575973E+01	
  +4.9166666666666670E+00	  +3.7000000000000000E+01	  +1.1280000000000000E+03	  +2.7410657616863755E+01	
  +4.9333333333333336E+00	  +3.7000000000000000E+01	  +1.1320000000000000E+03	  +2.7415575319152968E+01	
  +4.9500000000000002E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7418209778079341E+01	
  +4.9666666666666668E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7420921030486117E+01	
  +4.9833333333333334E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7422234696886115E+01	
  +5.0000000000000000E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7423752737195546E+01	
  +5.0166666666666666E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7424391592814690E+01	
  +5.0333333333333332E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7425246105510936E+01	
  +5.0499999999999998E+00	  +3.7000000000000000E+01	  +1.1320000000000000E+03	  +2.7425526287658933E+01	
