 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +1.1550000000000001E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4758415567812786E+01	
  +1.1566666666666666E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4758008682530807E+01	
  +1.1583333333333334E+01	  +2.4000000000000000E+01	  +1.1400000000000000E+03	  +2.4757595713848620E+01	
  +1.1600000000000000E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4757580533463440E+01	
  +1.1616666666666667E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4757045493617920E+01	
  +1.1633333333333333E+01	  +2.5000000000000000E+01	  +1.1350000000000000E+03	  +2.4907890426754950E+01	
  +1.1650000000000000E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.5036934863409748E+01	
  +1.1666666666666666E+01	  +2.4000000000000000E+01	  +1.1390000000000000E+03	  +2.4908533341595760E+01	
  +1.1683333333333334E+01	  +2.4000000000000000E+01	  +1.1340000000000000E+03	  +2.4788135365521491E+01	
  +1.1699999999999999E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4767236011961707E+01	
  +1.1716666666666667E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.4913847435781253E+01	
  +1.1733333333333333E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.5040652240700080E+01	
  +1.1750000000000000E+01	  +2.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4910672580641773E+01	
  +1.1766666666666667E+01	  +2.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4790619203209172E+01	
  +1.1783333333333333E+01	  +2.5000000000000000E+01	  +1.1380000000000000E+03	  +2.4919729634091141E+01	
  +1.1800000000000001E+01	  +2.5000000000000000E+01	  +1.1350000000000000E+03	  +2.5042128098723243E+01	
  +1.1816666666666666E+01	  +2.5000000000000000E+01	  +1.1360000000000000E+03	  +2.5062703827856279E+01	
  +1.1833333333333334E+01	  +2.5000000000000000E+01	  +1.1370000000000000E+03	  +2.5068712595550732E+01	
  +1.1850000000000000E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4917729592479215E+01	
  +1.1866666666666667E+01	  +2.5000000000000000E+01	  +1.1380000000000000E+03	  +2.4943118029540429E+01	
  +1.1883333333333333E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.5048249003227088E+01	
  +1.1900000000000000E+01	  +2.5000000000000000E+01	  +1.1370000000000000E+03	  +2.5064025679575682E+01	
  +1.1916666666666666E+01	  +2.5000000000000000E+01	  +1.1400000000000000E+03	  +2.5070341625818617E+01	
  +1.1933333333333334E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.5068924380518123E+01	
  +1.1949999999999999E+01	  +2.5000000000000000E+01	  +1.1370000000000000E+03	  +2.5070935068409586E+01	
  +1.1966666666666667E+01	  +2.5000000000000000E+01	  +1.1370000000000000E+03	  +2.5069519822300265E+01	
  +1.1983333333333333E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.5070878783270445E+01	
  +1.2000000000000000E+01	  +2.5000000000000000E+01	  +1.1380000000000000E+03	  +2.5010375544943425E+01	
  +1.2016666666666667E+01	  +2.5000000000000000E+01	  +1.1380000000000000E+03	  +2.4952506233538383E+01	
  +1.2033333333333333E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.4943846191242841E+01	
  +1.2050000000000001E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.4940298997694573E+01	
  +1.2066666666666666E+01	  +2.5000000000000000E+01	  +1.1400000000000000E+03	  +2.4939570218280107E+01	
  +1.2083333333333334E+01	  +2.5000000000000000E+01	  +1.1380000000000000E+03	  +2.4938553198149002E+01	
  +1.2100000000000000E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.4938868330325086E+01	
  +1.2116666666666667E+01	  +2.4000000000000000E+01	  +1.1390000000000000E+03	  +2.4787951493898561E+01	
  +1.2133333333333333E+01	  +2.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4812991743845767E+01	
  +1.2150000000000000E+01	  +2.5000000000000000E+01	  +1.1380000000000000E+03	  +2.4920262505458357E+01	
  +1.2166666666666666E+01	  +2.5000000000000000E+01	  +1.1380000000000000E+03	  +2.4935395758762560E+01	
  +1.2183333333333334E+01	  +2.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4941178115151203E+01	
  +1.2199999999999999E+01	  +2.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4938377370059523E+01	
  +1.2216666666666667E+01	  +2.5000000000000000E+01	  +1.1380000000000000E+03	  +2.4941784152765351E+01	
