Tecomat F2x CP2007I v2.3.061 DataLogger v1.3 (2024-01-10-00:00:00) : Datalog / El_meter ! Type : PERIODIC | DATE : %TDD-MM-YYYY | TIME : %Thh:mm:ss | REAL : %9.f %RF012397 | REAL : %9.f %RF012401 | REAL : %9.f %RF012405 | ,;
DATUM;ÈAS;Vykon L1;Vykon L2;Vykon L3
10-01-2024;02:40:50;      714;        0;       -0;
10-01-2024;02:41:00;      715;       -0;       -0;
10-01-2024;02:41:10;      715;       -0;       -0;
10-01-2024;02:41:20;      715;       -0;       -0;
10-01-2024;02:41:30;      715;        0;       -0;
10-01-2024;02:41:40;      716;        0;       -0;
10-01-2024;02:41:50;      716;       -0;       -0;
10-01-2024;02:42:00;      716;       -0;       -0;
10-01-2024;02:42:10;      717;        0;       -0;
10-01-2024;02:42:20;      720;        0;       -0;
10-01-2024;02:42:30;      724;        0;       -0;
10-01-2024;02:42:40;      727;        0;       -0;
10-01-2024;02:42:50;      722;        0;       -0;
10-01-2024;02:43:00;      721;        0;       -0;
10-01-2024;02:43:10;      719;        0;       -0;
10-01-2024;02:43:20;      718;        0;       -0;
10-01-2024;02:43:30;      716;        0;       -0;
10-01-2024;02:43:40;      717;        0;       -0;
10-01-2024;02:43:50;      716;        0;       -0;
10-01-2024;02:44:00;      714;       -0;       -0;
10-01-2024;02:44:10;      713;        0;       -0;
10-01-2024;02:44:20;      712;        0;       -0;
10-01-2024;02:44:30;      713;        0;       -0;
10-01-2024;02:44:40;      717;        0;       -0;
10-01-2024;02:44:50;      719;        0;       -0;
10-01-2024;02:45:00;      721;        0;       -0;
10-01-2024;02:45:10;      721;       -0;        0;
10-01-2024;02:45:20;      722;       -0;       -0;
10-01-2024;02:45:30;      723;        0;       -0;
10-01-2024;02:45:40;      724;        0;       -0;
10-01-2024;02:45:50;      725;        0;       -0;
10-01-2024;02:46:00;      724;       -0;       -0;
10-01-2024;02:46:10;      726;        0;       -0;
10-01-2024;02:46:20;      727;        0;       -0;
10-01-2024;02:46:30;      729;       -0;       -0;
10-01-2024;02:46:40;      731;        0;       -0;
10-01-2024;02:46:50;      730;        0;        0;
10-01-2024;02:47:00;      727;       -0;       -0;
10-01-2024;02:47:10;      724;        0;        0;
10-01-2024;02:47:20;      725;       -0;       -0;
10-01-2024;02:47:30;      723;        0;       -0;
10-01-2024;02:47:40;      725;       -0;        0;
10-01-2024;02:47:50;      723;        0;        0;
10-01-2024;02:48:00;      886;        0;       -0;
10-01-2024;02:48:10;     1251;        0;       -0;
10-01-2024;02:48:20;     1538;        0;       -0;
10-01-2024;02:48:30;     1455;        0;       -0;
10-01-2024;02:48:40;     1467;       -0;       -0;
10-01-2024;02:48:50;     1366;        0;       -0;
10-01-2024;02:49:00;     1341;       -0;       -0;
10-01-2024;02:49:10;     1300;       -0;       -0;
10-01-2024;02:49:20;     1313;        0;       -0;
10-01-2024;02:49:30;     1050;        0;       -0;
10-01-2024;02:49:40;      845;        0;       -0;
10-01-2024;02:49:50;      826;        0;       -0;
10-01-2024;02:50:00;      825;        0;       -0;
10-01-2024;02:50:10;      821;        0;       -0;
10-01-2024;02:50:20;      824;        0;        0;
10-01-2024;02:50:30;      828;       -0;       -0;
10-01-2024;02:50:40;      834;        0;       -0;
10-01-2024;02:50:50;      839;       -0;       -0;
10-01-2024;02:51:00;      843;        0;       -0;
10-01-2024;02:51:10;      848;       -0;       -0;
10-01-2024;02:51:20;      852;        0;       -0;
10-01-2024;02:51:30;      854;       -0;       -0;
10-01-2024;02:51:40;      860;       -0;       -0;
10-01-2024;02:51:50;      867;        0;       -0;
10-01-2024;02:52:00;      880;        0;        0;
10-01-2024;02:52:10;      787;        0;       -0;
10-01-2024;02:52:20;      724;       -0;       -0;
10-01-2024;02:52:30;      719;        0;       -0;
10-01-2024;02:52:40;      713;        0;       -0;
10-01-2024;02:52:50;      710;        0;        0;
10-01-2024;02:53:00;      705;        0;       -0;
10-01-2024;02:53:10;      714;        0;       -0;
10-01-2024;02:53:20;      716;        0;        0;
10-01-2024;02:53:30;      714;        0;       -0;
10-01-2024;02:53:40;      711;        0;       -0;
